Ptr: 0x80096918, Offset: 0x0003D0E0 (0x8004C8E0), CmdHi: 0x3C028009, CmdLo: 0x24426918
Ptr: 0x80096BE3, Offset: 0x0003D10C (0x8004C90C), CmdHi: 0x3C028009, CmdLo: 0x24426BE3
Ptr: 0x8009699A, Offset: 0x0003D124 (0x8004C924), CmdHi: 0x3C028009, CmdLo: 0x2442699A


Ptr: 0x8008E1BD, Size: 0x00000040
Ptr: 0x8008E1FE, Size: 0x00000040
Ptr: 0x8008E23F, Size: 0x00000040
Ptr: 0x8008E280, Size: 0x00000040
Ptr: 0x8008E2C1, Size: 0x00000040
Ptr: 0x8008E302, Size: 0x00000040
Ptr: 0x8008E343, Size: 0x00000040
Ptr: 0x8008E384, Size: 0x00000040
Ptr: 0x8008E3C5, Size: 0x00000040
Ptr: 0x8008E406, Size: 0x00000040
Ptr: 0x8008E447, Size: 0x00000040
Ptr: 0x8008E488, Size: 0x00000040
Ptr: 0x8008E4C9, Size: 0x00000040
Ptr: 0x8008E50A, Size: 0x00000040
Ptr: 0x8008E54B, Size: 0x00000040
Ptr: 0x8008E58C, Size: 0x00000040
Ptr: 0x8008E5CD, Size: 0x00000040
Ptr: 0x8008E60E, Size: 0x00000040
Ptr: 0x8008E64F, Size: 0x00000040
Ptr: 0x8008E690, Size: 0x00000040
Ptr: 0x8008E6D1, Size: 0x00000040
Ptr: 0x8008E712, Size: 0x00000040
Ptr: 0x8008E753, Size: 0x00000040
Ptr: 0x8008E794, Size: 0x00000040
Ptr: 0x8008E7D5, Size: 0x00000040
Ptr: 0x8008E816, Size: 0x00000040
Ptr: 0x8008E857, Size: 0x00000040
Ptr: 0x8008E898, Size: 0x00000040
Ptr: 0x8008E8D9, Size: 0x00000040
Ptr: 0x8008E91A, Size: 0x00000040
Ptr: 0x8008E95B, Size: 0x00000040
Ptr: 0x8008E99C, Size: 0x00000040
Ptr: 0x8008E9DD, Size: 0x00000040
Ptr: 0x8008EA1E, Size: 0x00000040
Ptr: 0x8008EA5F, Size: 0x00000040
Ptr: 0x8008EAA0, Size: 0x00000040
Ptr: 0x8008EAE1, Size: 0x00000040
Ptr: 0x8008EB22, Size: 0x00000040
Ptr: 0x8008EB63, Size: 0x00000040
Ptr: 0x8008EBA4, Size: 0x00000040
Ptr: 0x8008EBE5, Size: 0x00000040
Ptr: 0x8008EC26, Size: 0x00000040
Ptr: 0x8008EC67, Size: 0x00000040
Ptr: 0x8008ECA8, Size: 0x00000040
Ptr: 0x8008ECE9, Size: 0x00000040
Ptr: 0x8008ED2A, Size: 0x00000040
Ptr: 0x8008ED6B, Size: 0x00000040
Ptr: 0x8008EDAC, Size: 0x00000040
Ptr: 0x8008EDED, Size: 0x00000040
Ptr: 0x8008EE2E, Size: 0x00000040
Ptr: 0x8008EE6F, Size: 0x00000040
Ptr: 0x8008EEB0, Size: 0x00000040
Ptr: 0x8008EEF1, Size: 0x00000040
Ptr: 0x8008EF32, Size: 0x00000040
Ptr: 0x8008EF73, Size: 0x00000040
Ptr: 0x8008EFB4, Size: 0x00000040
Ptr: 0x8008EFF5, Size: 0x00000040
Ptr: 0x8008F036, Size: 0x00000040
Ptr: 0x8008F077, Size: 0x00000040
Ptr: 0x8008F0B8, Size: 0x00000040
Ptr: 0x8008F0F9, Size: 0x00000040
Ptr: 0x8008F13A, Size: 0x00000040
Ptr: 0x8008F17B, Size: 0x00000040
Ptr: 0x8008F1BC, Size: 0x00000040
Ptr: 0x8008F1FD, Size: 0x00000040
Ptr: 0x8008F23E, Size: 0x00000040
Ptr: 0x8008F27F, Size: 0x00000040
Ptr: 0x8008F2C0, Size: 0x00000040
Ptr: 0x8008F301, Size: 0x00000040
Ptr: 0x8008F342, Size: 0x00000040
Ptr: 0x8008F383, Size: 0x00000040
Ptr: 0x8008F3C4, Size: 0x00000040
Ptr: 0x8008F405, Size: 0x00000040
